#,Datum,Zeit,Position,Kartenadresse,Quelle,Wert,Suchergebnisse,Gesucht in,Parameter,Quelle (2),Konto,Gelöschte,Tag-Hinweis,Quelldatei-Informationen,Rekonstruiert,Manuell decodiert
1,15.12.2022,15.12.2022 12:59:54(UTC+1),,,Samsung Internet Browser,ebaykleinanzeigen anzeige prüfung,,,,Standardwert,,,,"userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/History : 0x5453 (Tabelle: visits, keyword_search_terms, Größe: 126976 Bytes)",,
1(1),15.12.2022,15.12.2022 12:59:54(UTC+1),,,Samsung Internet Browser,ebaykleinanzeigen anzeige prüfung,,,,Unbekannt,,,,userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/History : 0x5453 (Größe: 126976 Bytes),,
2,15.12.2022,15.12.2022 12:59:09(UTC+1),,,Samsung Internet Browser,ebaykleinanzeigen anzeige prüfung,,,,Standardwert,,,,"userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/History : 0x54A3 (Tabelle: visits, keyword_search_terms, Größe: 126976 Bytes)",,
2(1),15.12.2022,15.12.2022 12:59:09(UTC+1),,,Samsung Internet Browser,ebaykleinanzeigen anzeige prüfung,,,,Unbekannt,,,,userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/History : 0x54A3 (Größe: 126976 Bytes),,
3,15.12.2022,15.12.2022 12:58:59(UTC+1),,,Samsung Internet Browser,ebaykleinanzeigen anzeige prüfung,,,,Standardwert,,,,"userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/History : 0x550D (Tabelle: visits, keyword_search_terms, Größe: 126976 Bytes)",,
3(1),15.12.2022,15.12.2022 12:58:59(UTC+1),,,Samsung Internet Browser,ebaykleinanzeigen anzeige prüfung,,,,Unbekannt,,,,userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/History : 0x550D (Größe: 126976 Bytes),,
4,15.12.2022,15.12.2022 12:58:46(UTC+1),,,Samsung Internet Browser,ebaykleinanzeigen sicherheitsprüfung,,,,Standardwert,,,,"userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/History : 0x5527 (Tabelle: visits, keyword_search_terms, Größe: 126976 Bytes)",,
4(1),15.12.2022,15.12.2022 12:58:46(UTC+1),,,Samsung Internet Browser,ebaykleinanzeigen sicherheitsprüfung,,,,Unbekannt,,,,userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/History : 0x5527 (Größe: 126976 Bytes),,
5,15.12.2022,15.12.2022 12:57:34(UTC+1),,,Samsung Internet Browser,ebaykleinanzeigen sicherheitsprüfung,,,,Standardwert,,,,"userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/History : 0x5577 (Tabelle: visits, keyword_search_terms, Größe: 126976 Bytes)",,
5(1),15.12.2022,15.12.2022 12:57:34(UTC+1),,,Samsung Internet Browser,ebaykleinanzeigen sicherheitsprüfung,,,,Unbekannt,,,,userdata (ExtX)/Root/data/com.sec.android.app.sbrowser/app_sbrowser/Default/History : 0x5577 (Größe: 126976 Bytes),,
