#,Chat #,Kennung,Startzeit: Datum,Startzeit: Zeit,Letzte Aktivität: Datum,Letzte Aktivität: Zeit,Name,Beschreibung,Teilnehmer,Anzahl der Anhänge,Quelle,Konto,Gelöschte - Chat,Tag-Hinweis - Chat,Rekonstruiert,Manuell decodiert,Instant Message #,Von,An,Zeitstempel der Teilnehmer,Cc,Bcc,Priorität,Betreff,Text,Status,Plattform,Label,Ort,Zeitstempel: Datum,Zeitstempel: Zeit,Zugestellt: Datum,Zugestellt: Zeit,Gelesen: Datum,Gelesen: Zeit,Deletion Date: Datum,Deletion Date: Zeit,Anhang #1,Anhang #1 - Details,Gelöschte - Instant Message,Tag-Hinweis - Instant Message,Quelldatei-Informationen,Mit Sternchen markierte Nachricht,Mitteilung Rekonstruiert,Mitteilung Manuell decodiert
1,1,4915225737497@s.whatsapp.net,17.12.2022,17.12.2022 20:01:00(UTC+1),19.12.2022,19.12.2022 11:49:24(UTC+1),,,"4915225737497@s.whatsapp.net Helmut Franz 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",,WhatsApp,491756643753@s.whatsapp.net,,,,,1,4915225737497@s.whatsapp.net Helmut Franz,,,,,,,Moin Siggi, lang nichts gehört. Wie gehts dir?,,Mobile,,,17.12.2022,17.12.2022 20:01:00(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x1576F (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5825 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
2,1,4915225737497@s.whatsapp.net,17.12.2022,17.12.2022 20:01:00(UTC+1),19.12.2022,19.12.2022 11:49:24(UTC+1),,,"4915225737497@s.whatsapp.net Helmut Franz 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",,WhatsApp,491756643753@s.whatsapp.net,,,,,2,System Message System Message,,,,,,,🔒 Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. Tap to learn more,,Mobile,"System
",,19.12.2022,19.12.2022 11:47:40(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x157E5 (Tabelle: message, Größe: 436752 Bytes)",Nein,,
3,1,4915225737497@s.whatsapp.net,17.12.2022,17.12.2022 20:01:00(UTC+1),19.12.2022,19.12.2022 11:49:24(UTC+1),,,"4915225737497@s.whatsapp.net Helmut Franz 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",,WhatsApp,491756643753@s.whatsapp.net,,,,,3,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,"Hi Helmut, 
alles beim alten, muss ja. 
Wie stehts bei dir?",Zugestellt,Mobile,,,19.12.2022,19.12.2022 11:49:24(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x15687 (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
4,2,7277,15.12.2022,15.12.2022 00:44:54(UTC+1),15.12.2022,15.12.2022 00:44:54(UTC+1),7277,,"7277 
Owner (Eigentümer) 
",,Native Messages,,,,,,1,7277,"Owner (Eigentümer) 
","Owner (Eigentümer) 
",,,,,Bei der Einrichtung Ihrer Datenoption ist ein Fehl,,Unknown,,,15.12.2022,15.12.2022 00:44:54(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.sec.android.provider.logsprovider/databases/logs.db : 0x5F1E (Tabelle: logs, Größe: 69632 Bytes)",Nein,,
5,3,5,15.12.2022,15.12.2022 00:44:54(UTC+1),15.12.2022,15.12.2022 00:44:54(UTC+1),,,"(Eigentümer) Unbekannt 
7277 
",,Native Messages,,,,,,1,7277,"(Eigentümer) Unbekannt 
","(Eigentümer) Unbekannt 
",,,,,Bei der Einrichtung Ihrer Datenoption ist ein Fehler aufgetreten. Bitte prüfen Sie, ob Ihr Prepaid Guthaben ausreicht, um Ihre gebuchte Datenoption im aktuellen Abrechnungszeitraum zu aktivieren. Sobald Sie Ihr Guthaben aufladen, wird wieder Ihre gebuchte Datenoption aktiviert. Um Daten zu nutzen, können Sie alternativ ein Angebot auf http://datapass.de auswählen.,Gelesen,Unknown,,,15.12.2022,15.12.2022 00:44:54(UTC+1),15.12.2022,15.12.2022 00:44:46(UTC+1),,,,,,,,,"userdata (ExtX)/Root/data/com.android.providers.telephony/databases/mmssms.db-wal : 0x14A9D5 (Tabelle: sms, Größe: 1388472 Bytes)",Nein,,
6,4,Penny Mobil,11.12.2022,11.12.2022 08:51:03(UTC+1),14.12.2022,14.12.2022 13:34:57(UTC+1),Penny Mobil,,"Penny Mobil 
Owner (Eigentümer) 
",,Native Messages,,,,,,1,Penny Mobil,"Owner (Eigentümer) 
","Owner (Eigentümer) 
",,,,,Um ihre Sprach- und Datenoption weiter nutzen zu k,,Unknown,,,11.12.2022,11.12.2022 08:51:03(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.sec.android.provider.logsprovider/databases/logs.db : 0x55FC (Tabelle: logs, Größe: 69632 Bytes)",Nein,,
7,4,Penny Mobil,11.12.2022,11.12.2022 08:51:03(UTC+1),14.12.2022,14.12.2022 13:34:57(UTC+1),Penny Mobil,,"Penny Mobil 
Owner (Eigentümer) 
",,Native Messages,,,,,,2,Penny Mobil,"Owner (Eigentümer) 
","Owner (Eigentümer) 
",,,,,Sie können Ihre Sprach- und Datenoption nicht mehr,,Unknown,,,14.12.2022,14.12.2022 13:34:57(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.sec.android.provider.logsprovider/databases/logs.db : 0x555E (Tabelle: logs, Größe: 69632 Bytes)",Nein,,
8,5,4,11.12.2022,11.12.2022 08:51:03(UTC+1),14.12.2022,14.12.2022 13:34:57(UTC+1),,,"(Eigentümer) Unbekannt 
Penny Mobil 
",,Native Messages,,,,,,1,Penny Mobil,"(Eigentümer) Unbekannt 
","(Eigentümer) Unbekannt 
",,,,,Um ihre Sprach- und Datenoption weiter nutzen zu können, laden Sie bitte Ihr Konto in den nächsten 3 Tagen auf. Sonst fallen Kosten gemäß Ihres Tarifs an.,Gelesen,Unknown,,,11.12.2022,11.12.2022 08:51:03(UTC+1),11.12.2022,11.12.2022 08:50:56(UTC+1),,,,,,,,,"userdata (ExtX)/Root/data/com.android.providers.telephony/databases/mmssms.db-wal : 0x14AC81 (Tabelle: sms, Größe: 1388472 Bytes)",Nein,,
9,5,4,11.12.2022,11.12.2022 08:51:03(UTC+1),14.12.2022,14.12.2022 13:34:57(UTC+1),,,"(Eigentümer) Unbekannt 
Penny Mobil 
",,Native Messages,,,,,,2,Penny Mobil,"(Eigentümer) Unbekannt 
","(Eigentümer) Unbekannt 
",,,,,Sie können Ihre Sprach- und Datenoption nicht mehr nutzen. Zur Reaktivierung der Option bitte aufladen. Solange fallen Kosten gemäß Ihres Tarifs an.,Gelesen,Unknown,,,14.12.2022,14.12.2022 13:34:57(UTC+1),14.12.2022,14.12.2022 08:57:01(UTC+1),,,,,,,,,"userdata (ExtX)/Root/data/com.android.providers.telephony/databases/mmssms.db-wal : 0x14AB98 (Tabelle: sms, Größe: 1388472 Bytes)",Nein,,
10,6,Helmut Franz,07.12.2022,07.12.2022 12:22:56(UTC+1),07.12.2022,07.12.2022 12:22:56(UTC+1),Helmut Franz,,"Owner (Eigentümer) 
+4915225737497 Helmut Franz 
",,Native Messages,,,,,,1,Owner,"+4915225737497 Helmut Franz 
","+4915225737497 Helmut Franz 
",,,,,Moin, wie geht's? Lange nichts von dir gehört...,,Unknown,,,07.12.2022,07.12.2022 12:22:56(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.sec.android.provider.logsprovider/databases/logs.db : 0x569C (Tabelle: logs, Größe: 69632 Bytes)",Nein,,
